source,target
19843630,1364613886486474753
19843630,252731082
19843630,47430888
19843630,1222267293004005377
19843630,358353537
19843630,447358332
19843630,411436304
19843630,979778113042227202
19843630,1197603618372890624
19843630,4614320714
19843630,1173918715
19843630,123320086
19843630,22042578
19843630,99551380
19843630,3068460167
19843630,1268878302845992961
19843630,1148947647140630528
19843630,2864592173
19843630,49672706
19843630,226450437
19843630,995041225760804864
19843630,468499741
19843630,356614013
19843630,280762155
19843630,1251072650832723968
19843630,1105950228245471233
19843630,1064323137012039681
19843630,1094762324097822720
19843630,162399490
19843630,4622266606
19843630,1285013421293895680
19843630,987543087445458944
19843630,797482285
19843630,168619698
19843630,746026418904006656
19843630,2885719227
19843630,887370176332783617
19843630,18586316
19843630,51575022
19843630,862181731
19843630,208398263
19843630,987227656944013312
19843630,1156323645830176769
19843630,1092576019
19843630,1618591
19843630,61822673
19843630,1083689737339101184
19843630,3548598675
19843630,1100935084398514178
19843630,28449320
19843630,3874210408
19843630,720322341725683713
19843630,1212078379828043776
19843630,1598935020
19843630,1389265070643838976
19843630,49797407
19843630,2918337603
19843630,1215714463535398912
19843630,779759754742595584
19843630,810994535887212544
19843630,980314251007901697
19843630,2852219490
19843630,481419349
19843630,81971248
19843630,26319140
19843630,36568151
19843630,1060242475128971265
19843630,1286028645132316675
19843630,1331612389
19843630,1207820346503487488
19843630,862740829865218049
19843630,424748347
17051344,1037247616931655680
17051344,3019975299
17051344,412933559
17051344,2980458689
17051344,71210524
17051344,18452123
17051344,17032115
17051344,14707239
17051344,474088050
17051344,17905788
17051344,2882277423
17051344,1367912887
17051344,2249368669
17051344,92325644
17051344,2176358690
17051344,1295348160
17051344,13047362
17051344,2908853805
17051344,2944220186
17051344,3290211405
17051344,54576324
17051344,11344702
17051344,2897875669
17051344,616443449
17051344,19777670
17051344,9317622
17051344,2910350817
17051344,115900965
17051344,606520612
17051344,2924447222
17051344,3098652012
17051344,2324059108
17051344,202242259
17051344,3236153715
17051344,3187027970
17051344,868637460
17051344,397291963
17051344,53057557
17051344,2871161946
17051344,2903833738
17051344,2813510514
17051344,2908618852
17051344,3112004758
17051344,483186711
17051344,1242490129
17051344,208310452
17051344,348022324
17051344,3115594315
17051344,25746065
17051344,578419732
17051344,522302513
17051344,339189893
17051344,1104790405
17051344,385037584
17051344,17750122
17051344,1123574378
17051344,2344211519
17051344,2852116600
17051344,3067953945
17051344,116316704
17051344,121684992
17051344,2788582465
17051344,152284850
17051344,110649830
17051344,2190081608
17051344,33529589
17051344,587765419
17051344,52196137
17051344,94988301
17051344,2411535075
17051344,905109390
17051344,16145563
17051344,2897385260
17051344,1965614497
17051344,2359214462
17051344,466984899
17051344,3014035460
17051344,12077242
17051344,98907692
17051344,1586273670
17051344,899953062
17051344,65801511
17051344,180864517
17051344,1874792017
17051344,1762248738
17051344,2866901509
17051344,201805698
17051344,2986360995
17051344,253230872
17051344,1633150050
17051344,868572750
17051344,1279353024
17051344,606549267
17051344,2980924303
17051344,288998203
17051344,270064153
17051344,187115535
17051344,218028226
17051344,2323649155
