id,protected,verified,followers_count,friends_count,ratio_followers_friends,listed_count,statuses_count,default_profile,default_profile_image,has_url,url_is_google_research,url_is_linkedin,url_is_github,url_has_edu,url_is_academic,url_has_tilde,has_location,has_description,description_research_fields_count,description_mention_count,description_hashtag_count,description_url_count,researcher
51,0,0,14,190,0.07368421052631578,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
52,0,1,58772,4,14693.0,297,154,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
53,0,0,12754,573,22.25828970331588,42,170,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
54,0,1,378112,1890,200.05925925925925,3780,31269,0,0,1,0,0,0,0,0,0,1,1,2,2,0,1,1
55,0,1,5671,2938,1.930224642614023,110,51383,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
56,0,0,0,8,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,1,23814,290,82.11724137931034,84,205,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0
58,0,0,58,1115,0.05201793721973094,0,753,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59,0,0,3646,2548,1.4309262166405023,0,6491,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
60,0,0,13,218,0.05963302752293578,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,1,9742642,1071,9096.771241830065,65619,679677,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
62,0,1,2453907,49,50079.73469387755,3594,615,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
63,0,1,13577,723,18.778699861687414,285,7307,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1
64,0,1,39106,2931,13.342204025929718,2086,17415,0,0,1,0,0,0,0,0,0,1,1,0,1,3,0,0
65,0,0,698,457,1.5273522975929978,73,2622,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
66,0,0,60,291,0.20618556701030927,2,364,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
67,0,0,288,3776,0.07627118644067797,0,988,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,0,0,156,1494,0.10441767068273092,0,2342,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,0,0,12724,268,47.47761194029851,301,1048,1,0,1,0,0,0,0,0,0,1,1,2,4,0,0,1
70,0,1,33471230,1825,18340.4,51334,279733,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
71,0,0,128,178,0.7191011235955056,0,131,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
72,0,0,252,188,1.3404255319148937,1,3784,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,0,0,51969,715,72.68391608391609,324,5263,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
74,0,0,128,30,4.266666666666667,3,256,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1
75,0,1,185866,2023,91.87642115669797,0,40386,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
76,0,0,3033,1640,1.849390243902439,46,13668,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,1
77,0,0,3438,61,56.36065573770492,46,754,1,0,1,0,0,0,1,0,0,0,1,5,0,0,1,1
78,0,0,334,993,0.3363544813695871,3,712,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
79,0,0,1120,675,1.6592592592592592,12,1260,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
80,0,0,2192,161,13.614906832298137,42,597,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
81,0,1,32079,2809,11.420078319686722,482,118453,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
82,0,0,320,376,0.851063829787234,1,313,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
83,0,0,391,1543,0.25340246273493194,5,722,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1
84,0,1,20018,2110,9.487203791469195,172,150896,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
85,0,0,109,220,0.4954545454545455,0,118,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0
86,0,0,30982,646,47.959752321981426,1159,15289,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
87,0,0,331,726,0.4559228650137741,3,6496,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
88,1,0,895,1628,0.5497542997542998,61,2444,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
89,1,0,24,2020,0.011881188118811881,0,76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0,0,2967,3509,0.8455400398974067,4,30558,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
91,0,0,254,273,0.9304029304029304,1,558,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
92,0,0,474,1341,0.3534675615212528,14,1815,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
93,0,0,459,1082,0.4242144177449168,5,520,1,0,1,0,0,0,0,0,0,1,1,1,1,5,0,1
94,0,1,57519,384,149.7890625,142,12121,1,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0
95,0,1,8097,1303,6.214121258633922,159,8272,1,0,1,0,0,0,0,0,0,1,1,0,2,3,0,0
96,0,0,8,59,0.13559322033898305,0,307,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
97,0,0,28,215,0.13023255813953488,0,91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,0,0,1433,773,1.8538163001293662,2,15498,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
99,0,0,30466,2900,10.50551724137931,566,1722,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1
100,0,0,10682,1909,5.5955997904662125,195,43431,1,0,1,0,0,0,1,0,0,1,1,3,1,0,0,1
101,0,0,0,14,0.0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,3523,338,10.423076923076923,66,503,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
103,0,0,70,159,0.44025157232704404,0,40,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
104,0,1,1620,117,13.846153846153847,18,672,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
105,0,0,1051,241,4.360995850622406,19,984,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
106,0,0,152,634,0.23974763406940064,4,82,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,1
107,0,0,0,196,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,1,3368,189,17.82010582010582,38,1752,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,0,0,952,391,2.4347826086956523,9,711,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
110,1,0,177,249,0.7108433734939759,0,257,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
111,0,0,305,389,0.7840616966580977,8,1146,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
112,0,0,315,656,0.4801829268292683,16,12557,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
113,0,0,154,748,0.20588235294117646,3,2434,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
114,0,1,17857,462,38.65151515151515,480,15718,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
115,0,0,577,751,0.7683089214380826,1,2941,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0
116,0,0,13,33,0.3939393939393939,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
117,0,0,28,847,0.03305785123966942,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,0,0,3389,1364,2.4846041055718473,53,6937,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
119,0,1,39492,1274,30.998430141287283,670,13479,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
120,0,1,25301,1617,15.64687693259122,1009,16611,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
121,0,1,26460,4514,5.861763402747009,924,4318,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
122,0,0,5204,968,5.37603305785124,82,24748,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
